timesteps,lambda_rate,episode_reward,tardiness
4900,0.12,-206.0007767518134,1181
4900,0.12,-207.22354900614786,1226
4900,0.12,-222.44627881948745,1277
4900,0.12,-205.1842386640349,1185
4900,0.12,-206.72539987521935,1222
4900,0.12,-220.69175442216755,1198
4900,0.12,-209.58375193678785,1209
4900,0.12,-206.04283204435114,1192
4900,0.12,-217.36261978327488,1208
4900,0.12,-205.2152545048533,1216
9860,0.12,0.0,0
9860,0.12,0.0,0
9860,0.12,-7.536239090445757,6
9860,0.12,-1.371912335710416,2
9860,0.12,-3.091556113875863,2
9860,0.12,0.0,0
9860,0.12,0.0,0
9860,0.12,0.0,0
9860,0.12,0.0,0
9860,0.12,-3.7987944519292234,1
14460,0.12,-133.02535007921625,281
14460,0.12,-118.93548276645147,230
14460,0.12,-131.80676329397178,292
14460,0.12,-121.1431938740689,345
14460,0.12,-123.06665746303932,265
14460,0.12,-134.20177640558038,271
14460,0.12,-132.92493427016484,337
14460,0.12,-144.53105897915293,294
14460,0.12,-124.90982593469437,333
14460,0.12,-137.8304880823683,265
19390,0.12,-33.750570188393425,45
19390,0.12,-35.97905697546077,50
19390,0.12,-25.896849947559627,26
19390,0.12,-16.746698398314244,23
19390,0.12,-25.912853678780444,34
19390,0.12,-33.89034239813905,58
19390,0.12,-31.20338437066129,43
19390,0.12,-34.73132319184237,36
19390,0.12,-27.28909288261854,45
19390,0.12,-29.20233178306387,25
24230,0.12,-6.736074321645348,4
24230,0.12,-5.774918932733207,1
24230,0.12,0.0,0
24230,0.12,-3.5554400451611716,4
24230,0.12,0.0,0
24230,0.12,-3.9455669360919066,3
24230,0.12,0.0,0
24230,0.12,-6.5365225562569265,5
24230,0.12,-6.1388561497785945,2
24230,0.12,-2.6987075830441927,1
29120,0.12,-235.0054201394274,856
29120,0.12,-229.0451057596602,863
29120,0.12,-237.1136925973456,888
29120,0.12,-231.44622123916145,927
29120,0.12,-236.97203688484606,880
29120,0.12,-230.34013061124523,857
29120,0.12,-231.5425175745564,888
29120,0.12,-237.55979264162542,862
29120,0.12,-234.2506654248718,883
29120,0.12,-237.07216940361033,859
33790,0.12,-74.96100630015047,246
33790,0.12,-87.20661009100348,267
33790,0.12,-83.20206214141415,295
33790,0.12,-86.11881694093469,274
33790,0.12,-80.9295496986189,266
33790,0.12,-80.53326569345774,284
33790,0.12,-80.04436404985806,279
33790,0.12,-83.62839992571291,264
33790,0.12,-77.43726110320333,259
33790,0.12,-80.33380188506291,272
38410,0.12,-261.68182977158017,1409
38410,0.12,-259.3728301679669,1400
38410,0.12,-258.3355783421824,1412
38410,0.12,-261.17814495809665,1384
38410,0.12,-258.5979798087184,1392
38410,0.12,-261.6408599901631,1429
38410,0.12,-257.91206844161024,1377
38410,0.12,-262.4384399046213,1433
38410,0.12,-260.3274846056512,1411
38410,0.12,-260.2849294334733,1417
43430,0.12,-39.81279625604177,89
43430,0.12,-66.09949746724236,96
43430,0.12,-59.7069833375955,92
43430,0.12,-45.83393535519584,71
43430,0.12,-53.72899371467666,117
43430,0.12,-53.681413939673945,90
43430,0.12,-48.88232802423648,81
43430,0.12,-54.315536382366204,78
43430,0.12,-56.843893871802436,76
43430,0.12,-44.70076806555197,96
48340,0.12,-9.146735627885136,10
48340,0.12,-5.82024679085934,14
48340,0.12,-5.6649543933278705,5
48340,0.12,-2.809036239275464,4
48340,0.12,-8.870831986992311,4
48340,0.12,0.0,0
48340,0.12,-11.5040731066693,14
48340,0.12,-6.757806908041848,9
48340,0.12,-11.767434856546245,7
48340,0.12,-6.479130515910754,13
53010,0.12,-93.06679196296075,179
53010,0.12,-98.45266194971023,202
53010,0.12,-78.8062363109334,166
53010,0.12,-91.12174124100359,179
53010,0.12,-78.10723185417179,150
53010,0.12,-80.49177931067074,170
53010,0.12,-78.50927884165675,146
53010,0.12,-85.4230601752832,169
53010,0.12,-72.85827811407461,140
53010,0.12,-79.1689751001707,158
57840,0.12,-32.53974534710142,48
57840,0.12,-21.754894417923758,21
57840,0.12,-12.292231176915259,12
57840,0.12,-19.257691731992317,20
57840,0.12,-35.1930641489885,37
57840,0.12,-18.086227796265064,16
57840,0.12,-10.745550251323161,8
57840,0.12,-20.52403395114231,19
57840,0.12,-15.701765299608319,23
57840,0.12,-2.7109279289146384,3
62590,0.12,-295.7227309788415,2247
62590,0.12,-296.25392993444433,2301
62590,0.12,-293.67986653376425,2275
62590,0.12,-288.2479924595432,2258
62590,0.12,-291.07382436299446,2304
62590,0.12,-290.3029285940105,2302
62590,0.12,-296.570843809496,2309
62590,0.12,-292.4836767506753,2293
62590,0.12,-294.9543035430047,2261
62590,0.12,-288.3433332349583,2296
