timesteps,episode_reward,tardiness
703494,-194.8135634431991,975
704463,-186.84414437737476,908
705432,-202.56879517310836,985
706401,-197.60512552218862,984
707370,-202.2806480738057,982
708339,-192.00515994781153,970
709308,-200.81712185373848,975
710277,-195.97943267744768,985
711246,-199.84141728616652,1016
712215,-201.07262643542177,932
713184,-190.47794965588002,1023
714153,-195.89221515530002,985
715122,-191.4889497073808,1033
716091,-185.71256372956705,934
717060,-198.461477209037,934
718029,-183.96322010367786,942
718998,-198.50152282187935,925
719967,-190.2899459083659,973
720936,-201.04534755200322,938
721905,-193.90244440341084,985
722874,-197.37436473263014,972
723843,-196.90203765243825,944
724812,-191.05736051617401,976
725781,-186.56513165128482,976
726750,-194.39104496254834,1037
727719,-192.41836460810467,989
728688,-189.75158385294532,927
729657,-199.80728984128194,997
730626,-189.70450071651453,977
731595,-204.92195739470205,1016
732564,-196.96838755058317,981
733533,-201.63408208264198,1009
734502,-194.16122945704927,979
735471,-195.4327468851649,1002
736440,-196.90323181496976,930
737409,-189.42013999929642,982
738378,-189.45045850514546,996
739347,-197.24798311752002,1036
740316,-198.55412479115688,988
741285,-197.98052636953759,1003
742254,-196.24044773451183,1001
743223,-196.2642866096886,954
744192,-193.50930376878296,992
745161,-193.73084207453246,975
746130,-196.29949671373677,972
747099,-204.23216583954303,927
748068,-201.88172937597957,998
749037,-199.60287425686744,1005
750006,-194.62099613948112,980
750975,-197.17044908500083,971
751944,-192.07508060795817,964
752913,-196.96412655092814,958
753882,-200.75691976726682,982
754851,-196.67578106778225,973
755820,-202.34131628713246,979
756789,-198.69146789691163,964
757758,-193.85150823912969,945
758727,-196.37062427917462,920
759696,-193.72364865316797,952
760665,-194.89034845660618,967
761634,-198.15925330027753,1025
762603,-202.33683455310913,986
763572,-192.99508248582364,968
764541,-194.00513710941183,967
765510,-194.063547146868,957
766479,-205.1351135100994,1007
767448,-191.07300250858435,936
768417,-190.06958172749236,986
769386,-192.0860875297055,991
770355,-194.16964544308337,994
771324,-194.97491583129937,1017
772293,-188.14623957654504,936
773262,-198.60270309098257,1007
774231,-202.9885809314264,1015
775200,-193.89162873123468,919
776169,-207.49098620880784,1011
777138,-190.113227381664,939
778107,-191.25931867384892,943
779076,-189.64009529788737,988
780045,-199.6173947209124,933
781014,-197.1552092535057,961
781983,-197.5682932622794,974
782952,-193.34817684426014,937
783921,-204.23954306183637,963
784890,-203.41168850528413,1042
785859,-193.60830326381208,993
786828,-198.03753484464286,969
787797,-198.19669868649234,959
788766,-202.84216816655984,991
789735,-201.22808207449629,995
790704,-195.04736947251018,1073
791673,-194.21353198276785,967
792642,-197.76995388561215,1017
793611,-192.94406183658415,1056
794580,-194.37875318027878,1028
795549,-195.73391559016565,936
796518,-192.09116459604667,1000
797487,-186.7879463924353,978
798456,-193.5964332774069,952
799425,-202.90496145200817,930
800394,-190.62581429167855,917
801363,-197.3206677849978,944
802332,-194.00549760064803,903
803301,-199.81232928982982,1025
804270,-188.7547644224365,983
805239,-203.62599686404013,990
806208,-200.58031886815849,1025
807177,-199.2064019724561,966
808146,-190.45317629063314,954
809115,-199.09205674279931,1086
810084,-191.83988608265716,1005
811053,-204.5210982933977,966
812022,-194.6680393304799,968
812991,-200.82092715596286,987
813960,-193.44832293379946,976
814929,-199.44223863156142,970
815898,-196.55009246339566,995
816867,-195.23961465171706,990
817836,-203.69706509640457,952
818805,-193.89120606614827,1017
819774,-202.98727749875803,1012
820743,-201.55544893441092,962
821712,-191.52876286291053,1025
822681,-198.26468029845856,960
823650,-195.60122098531087,983
824619,-201.83211799419726,989
825588,-198.70610730132603,997
826557,-195.8171630732962,978
827526,-198.0893014493716,923
828495,-191.31753690936074,955
829464,-198.4358882644943,944
830433,-203.91788264152356,978
831402,-195.78364734320445,989
832371,-198.02214098730354,979
833340,-195.92615452472143,947
834309,-192.44094461972392,960
835278,-194.98055809946246,938
836247,-195.9276523163214,1003
837216,-188.8093175987791,951
838185,-196.9321171081929,993
839154,-199.42802702969826,954
840123,-198.59240111962902,985
841092,-187.8473588502084,990
842061,-189.59747968229777,938
843030,-196.11670414216485,1048
843999,-183.7715002928845,985
844968,-193.44041911531662,954
845937,-194.62376276832188,1008
846906,-196.9200793617593,1005
847875,-197.9971259302915,935
848844,-191.30007937646113,949
849813,-198.72993068484396,935
850782,-195.41271293738194,920
851751,-188.09174002504668,976
852720,-199.00799320964617,949
853689,-196.69796797848517,996
854658,-199.77431879571552,977
855627,-199.62057776743342,991
856596,-201.20482475028854,939
857565,-193.7533655136398,947
858534,-189.5395237822373,913
859503,-198.669384328074,986
860472,-192.72630115973695,949
861441,-195.66993072231537,941
862410,-200.32024559421316,996
863379,-197.3826866877322,983
864348,-194.10672132418603,983
865317,-200.99212761280998,952
866286,-198.76528178518828,959
867255,-194.38958803818608,991
868224,-203.02425853247775,973
869193,-195.01982356665172,992
870162,-193.90584276343355,1025
871131,-192.61458296894315,979
872100,-198.9018403636602,996
873069,-200.54195714876315,968
874038,-193.43397537644947,908
875007,-190.1818134305832,965
875976,-195.2758752169104,997
876945,-192.95767761535353,974
877914,-194.69412420669593,979
878883,-190.1194556631741,975
879852,-188.06476652318716,994
880821,-185.58120358732245,979
881790,-200.36513533114095,973
882759,-199.73061249889884,1008
883728,-185.4025978843595,978
884697,-193.28442501575347,917
885666,-203.73667159857814,964
886635,-190.71474459875364,1041
887604,-189.23184705297112,947
888573,-196.30389396932577,1052
889542,-196.19929900946545,949
890511,-193.8161652161239,1019
891480,-195.90032190010626,973
892449,-183.37441354464514,981
893418,-198.18773945486828,945
894387,-198.28265528638826,952
895356,-193.31841892429685,927
896325,-194.00680435025123,889
897294,-205.25954325494564,987
898263,-193.41543410202047,1010
899232,-198.13954704992344,930
900201,-193.82427570188892,921
901170,-191.13293160987737,971
902139,-195.79531863628003,947
903108,-189.69056723747806,944
904077,-189.42000386191665,920
905046,-203.92019921644382,950
906015,-202.86275438110664,1021
906984,-187.75766280088476,968
907953,-191.0903185581996,929
908922,-182.61616319733906,942
909891,-194.60721090502005,936
910860,-198.29998890381424,931
911829,-197.25795636619318,1031
912798,-199.24345221792265,1024
913767,-200.41743514315078,972
914736,-200.9891965964486,937
915705,-198.84404731916888,1002
916674,-186.0375963056449,961
917643,-198.13727581577564,1046
918612,-209.31642318640263,978
919581,-193.20336407091122,981
920550,-194.94231701647627,971
921519,-198.61865966134047,957
922488,-198.39534442202498,967
923457,-196.0163812953175,991
924426,-189.15963867789645,925
925395,-205.4626681335562,952
926364,-194.21957897315693,958
927333,-204.776056646332,972
928302,-193.4994521106783,884
929271,-191.53413551659264,1071
930240,-190.5419788359276,946
931209,-189.93861926774355,945
932178,-202.77008840386645,988
933147,-197.0058534242584,1034
934116,-190.9177137350609,947
935085,-200.50123927164984,978
936054,-195.31174003016653,932
937023,-192.66753672767985,939
937992,-195.12618971661996,946
938961,-193.79739835587554,1037
939930,-203.19171686957776,989
940899,-190.35440092316804,971
941868,-201.3076085729425,1017
